	h1	h2	keep
Hcv1.1.c5.g930.i1	290	290	h1
Hcv1.1.c8.g77.i3	495	495	h1
Hcv1.1.c13.g516.i2	1324	1324	h1
Hcv1.1.c3.g284.i3	308	308	h1
Hcv1.1.c6.g297.i1	480	480	h1
Hcv1.1.c2.g140.i1	97	97	h1
Hcv1.1.c2.g89.i1	400	400	h1
Hcv1.1.c9.g422.i1	932	932	h1
Hcv1.1.c2.g85.i1	349	352	h2
Hcv1.1.c10.g287.i1	1346	1322	h1
Hcv1.1.c7.g820.i1	402	402	h1
Hcv1.1.c7.g886.i1	741	741	h1
Hcv1.1.c9.g68.i2	216	216	h1
Hcv1.1.c4.g686.i2	263	263	h1
Hcv1.1.c6.g1036.i6	519	519	h1
Hcv1.1.c12.g366.i1	253	253	h1
Hcv1.1.c1.g806.i1	619	661	h2
Hcv1.1.c9.g219.i2	1177	1177	h1
Hcv1.1.c8.g701.i2	360	360	h1
Hcv1.1.c2.g1427.i1	279	279	h1
Hcv1.1.c11.g161.i1	513	513	h1
Hcv1.1.c5.g575.i1	478	474	h1
Hcv1.1.c11.g397.i1	349	349	h1
Hcv1.1.c9.g571.i1	1638	1638	h1
Hcv1.1.c11.g464.i1	570	570	h1
Hcv1.1.c4.g603.i1	581	581	h1
Hcv1.1.c1.g976.i2	507	506	h1
Hcv1.1.c6.g702.i2	540	540	h1
Hcv1.1.c6.g860.i2	-1	-1	NO
Hcv1.1.c8.g69.i2	346	347	h2
Hcv1.1.c11.g656.i2	827	827	h1
Hcv1.1.c6.g632.i1	313	313	h1
Hcv1.1.c4.g201.i1	353	352	h1
Hcv1.1.c6.g793.i2	175	175	h1
Hcv1.1.c1.g262.i1	364	364	h1
Hcv1.1.c8.g646.i4	1170	1170	h1
Hcv1.1.c11.g511.i1	433	433	h1
Hcv1.1.c11.g819.i1	160	160	h1
Hcv1.1.c2.g784.i4	555	555	h1
Hcv1.1.c1.g1140.i1	590	590	h1
Hcv1.1.c5.g877.i1	799	797	h1
Hcv1.1.c3.g691.i2	825	826	h2
Hcv1.1.c3.g917.i2	288	288	h1
Hcv1.1.c7.g148.i1	573	573	h1
Hcv1.1.c9.g534.i2	133	133	h1
Hcv1.1.c11.g411.i1	172	172	h1
Hcv1.1.c7.g182.i4	647	677	h2
Hcv1.1.c2.g319.i1	283	421	h2
Hcv1.1.c3.g851.i12	396	396	h1
Hcv1.1.c6.g715.i1	-1	-1	NO
Hcv1.1.c8.g23.i2	731	731	h1
Hcv1.1.c12.g37.i1	294	364	h2
Hcv1.1.c11.g701.i1	208	208	h1
Hcv1.1.c13.g440.i1	102	99	h1
Hcv1.1.c1.g507.i2	667	437	h1
Hcv1.1.c1.g1021.i1	85	85	h1
Hcv1.1.c10.g22.i1	106	106	h1
Hcv1.1.c7.g589.i1	278	278	h1
Hcv1.1.c1.g1247.i1	2187	1537	h1
Hcv1.1.c9.g784.i1	645	645	h1
Hcv1.1.c9.g421.i1	918	918	h1
Hcv1.1.c3.g547.i3	177	172	h1
Hcv1.1.c9.g645.i1	224	224	h1
Hcv1.1.c1.g287.i2	438	438	h1
Hcv1.1.c13.g121.i1	120	84	h1
Hcv1.1.c6.g171.i1	411	411	h1
Hcv1.1.c11.g412.i1	927	923	h1
Hcv1.1.c9.g10.i1	477	148	h1
Hcv1.1.c1.g1203.i1	589	589	h1
Hcv1.1.c9.g41.i2	104	104	h1
Hcv1.1.c11.g134.i2	500	492	h1
Hcv1.1.c1.g245.i2	232	232	h1
Hcv1.1.c12.g166.i1	223	223	h1
Hcv1.1.c5.g140.i1	878	878	h1
Hcv1.1.c1.g321.i1	310	310	h1
Hcv1.1.c5.g777.i2	489	489	h1
Hcv1.1.c7.g816.i2	3704	3704	h1
Hcv1.1.c10.g291.i1	72	174	h2
Hcv1.1.c11.g257.i1	108	108	h1
Hcv1.1.c2.g219.i2	89	176	h2
Hcv1.1.c13.g158.i1	79	79	h1
Hcv1.1.c1.g1511.i1	591	603	h2
Hcv1.1.c8.g98.i2	370	370	h1
Hcv1.1.c11.g795.i4	310	365	h2
Hcv1.1.c6.g259.i2	1337	1337	h1
Hcv1.1.c2.g154.i1	150	148	h1
Hcv1.1.c2.g386.i1	162	162	h1
Hcv1.1.c4.g569.i1	209	209	h1
Hcv1.1.c6.g559.i1	238	238	h1
Hcv1.1.c2.g692.i1	358	358	h1
Hcv1.1.c10.g328.i1	93	93	h1
Hcv1.1.c3.g575.i3	559	541	h1
Hcv1.1.c9.g54.i2	461	347	h1
Hcv1.1.c6.g535.i1	158	158	h1
Hcv1.1.c6.g330.i1	535	535	h1
Hcv1.1.c13.g286.i1	795	792	h1
Hcv1.1.c1.g356.i6	353	353	h1
Hcv1.1.c1.g879.i1	826	826	h1
Hcv1.1.c1.g1206.i3	99	62	h1
Hcv1.1.c5.g792.i1	586	586	h1
Hcv1.1.c12.g127.i3	461	461	h1
Hcv1.1.c8.g407.i1	558	558	h1
Hcv1.1.c8.g699.i1	327	327	h1
Hcv1.1.c7.g231.i1	270	270	h1
Hcv1.1.c3.g900.i1	360	358	h1
Hcv1.1.c8.g564.i1	584	584	h1
Hcv1.1.c1.g1185.i1	546	546	h1
Hcv1.1.c12.g278.i4	745	745	h1
Hcv1.1.c4.g698.i1	215	218	h2
Hcv1.1.c1.g784.i2	584	585	h2
Hcv1.1.c1.g336.i11	373	373	h1
Hcv1.1.c2.g1174.i1	1778	923	h1
Hcv1.1.c7.g469.i1	831	831	h1
Hcv1.1.c11.g262.i3	589	589	h1
Hcv1.1.c5.g1036.i1	354	350	h1
Hcv1.1.c4.g339.i1	-1	-1	NO
Hcv1.1.c4.g671.i1	573	172	h1
Hcv1.1.c6.g322.i1	351	351	h1
Hcv1.1.c1.g2.i1	-1	-1	NO
Hcv1.1.c9.g113.i1	631	614	h1
Hcv1.1.c11.g43.i2	592	592	h1
Hcv1.1.c8.g7.i2	1199	1364	h2
Hcv1.1.c2.g117.i1	252	252	h1
Hcv1.1.c9.g530.i2	807	807	h1
Hcv1.1.c13.g345.i1	376	376	h1
Hcv1.1.c1.g871.i1	210	211	h2
Hcv1.1.c12.g52.i4	1194	1194	h1
Hcv1.1.c6.g685.i2	280	280	h1
Hcv1.1.c7.g198.i2	764	759	h1
Hcv1.1.c2.g1265.i2	795	792	h1
Hcv1.1.c5.g743.i1	177	177	h1
Hcv1.1.c1.g1165.i3	509	509	h1
Hcv1.1.c7.g449.i2	120	120	h1
Hcv1.1.c3.g1119.i1	161	163	h2
Hcv1.1.c7.g132.i1	255	416	h2
Hcv1.1.c12.g253.i2	1431	1431	h1
Hcv1.1.c10.g546.i3	788	798	h2
Hcv1.1.c11.g383.i4	272	272	h1
Hcv1.1.c2.g656.i1	112	112	h1
Hcv1.1.c13.g422.i2	376	376	h1
Hcv1.1.c4.g295.i1	433	433	h1
Hcv1.1.c5.g1157.i2	329	303	h1
Hcv1.1.c6.g6.i1	59	59	h1
Hcv1.1.c9.g648.i1	785	789	h2
Hcv1.1.c10.g366.i5	433	433	h1
Hcv1.1.c6.g13.i14	345	345	h1
Hcv1.1.c2.g228.i5	70	70	h1
Hcv1.1.c3.g434.i1	2185	2185	h1
Hcv1.1.c11.g230.i2	1206	1206	h1
Hcv1.1.c5.g1011.i3	534	534	h1
Hcv1.1.c8.g659.i1	426	426	h1
Hcv1.1.c1.g751.i3	749	751	h2
Hcv1.1.c6.g373.i1	483	499	h2
Hcv1.1.c6.g500.i2	83	83	h1
Hcv1.1.c3.g812.i1	687	685	h1
Hcv1.1.c2.g1316.i1	347	347	h1
Hcv1.1.c10.g87.i1	186	186	h1
Hcv1.1.c5.g278.i1	69	69	h1
Hcv1.1.c3.g710.i1	313	313	h1
Hcv1.1.c1.g120.i1	995	996	h2
Hcv1.1.c13.g65.i1	68	68	h1
Hcv1.1.c8.g119.i1	535	535	h1
Hcv1.1.c12.g339.i3	324	324	h1
Hcv1.1.c7.g680.i1	676	676	h1
Hcv1.1.c11.g110.i1	144	142	h1
Hcv1.1.c9.g721.i2	838	838	h1
Hcv1.1.c13.g245.i2	516	516	h1
Hcv1.1.c10.g333.i1	442	442	h1
Hcv1.1.c6.g875.i3	250	250	h1
Hcv1.1.c2.g461.i3	1131	1128	h1
Hcv1.1.c13.g489.i2	1094	1094	h1
Hcv1.1.c8.g708.i1	290	290	h1
Hcv1.1.c8.g492.i1	361	361	h1
Hcv1.1.c4.g342.i2	1320	832	h1
Hcv1.1.c3.g718.i3	365	365	h1
Hcv1.1.c9.g430.i1	633	635	h2
Hcv1.1.c2.g222.i1	60	60	h1
Hcv1.1.c9.g337.i1	380	380	h1
Hcv1.1.c6.g798.i1	963	963	h1
Hcv1.1.c5.g387.i1	972	972	h1
Hcv1.1.c3.g766.i1	537	537	h1
Hcv1.1.c2.g1306.i3	553	553	h1
Hcv1.1.c10.g512.i1	445	445	h1
Hcv1.1.c2.g974.i1	494	315	h1
Hcv1.1.c6.g975.i4	158	158	h1
Hcv1.1.c2.g696.i1	337	337	h1
Hcv1.1.c1.g678.i1	332	332	h1
Hcv1.1.c1.g288.i1	286	286	h1
Hcv1.1.c13.g355.i2	424	424	h1
Hcv1.1.c8.g662.i1	287	287	h1
Hcv1.1.c6.g875.i2	141	141	h1
Hcv1.1.c9.g22.i1	1677	1370	h1
Hcv1.1.c11.g550.i4	1167	1167	h1
Hcv1.1.c12.g455.i2	686	644	h1
Hcv1.1.c1.g12.i5	276	276	h1
Hcv1.1.c9.g605.i3	283	283	h1
Hcv1.1.c11.g303.i1	71	71	h1
Hcv1.1.c1.g543.i1	187	187	h1
Hcv1.1.c13.g481.i1	494	494	h1
Hcv1.1.c2.g59.i1	1164	1164	h1
Hcv1.1.c7.g515.i1	278	275	h1
Hcv1.1.c8.g62.i3	537	537	h1
Hcv1.1.c5.g948.i2	341	341	h1
Hcv1.1.c9.g233.i1	134	134	h1
Hcv1.1.c2.g335.i1	312	312	h1
Hcv1.1.c10.g558.i1	497	498	h2
Hcv1.1.c6.g408.i1	392	392	h1
Hcv1.1.c3.g679.i1	177	177	h1
Hcv1.1.c1.g249.i3	191	191	h1
Hcv1.1.c6.g99.i1	351	351	h1
Hcv1.1.c11.g262.i1	585	585	h1
Hcv1.1.c2.g1408.i1	197	211	h2
Hcv1.1.c2.g1027.i1	776	778	h2
Hcv1.1.c7.g118.i1	345	345	h1
Hcv1.1.c6.g979.i1	186	186	h1
Hcv1.1.c1.g193.i2	624	624	h1
Hcv1.1.c5.g654.i1	161	161	h1
Hcv1.1.c11.g475.i3	382	391	h2
Hcv1.1.c12.g450.i1	295	570	h2
Hcv1.1.c2.g1029.i2	461	661	h2
Hcv1.1.c6.g16.i2	195	195	h1
Hcv1.1.c12.g247.i4	1178	1196	h2
Hcv1.1.c3.g1065.i1	501	501	h1
Hcv1.1.c1.g1206.i4	86	86	h1
Hcv1.1.c12.g280.i1	1495	1497	h2
Hcv1.1.c6.g213.i4	1135	1135	h1
Hcv1.1.c12.g392.i3	261	96	h1
Hcv1.1.c3.g957.i1	691	692	h2
Hcv1.1.c3.g660.i1	649	649	h1
Hcv1.1.c6.g940.i1	302	302	h1
Hcv1.1.c8.g228.i3	513	510	h1
Hcv1.1.c11.g2.i1	96	96	h1
Hcv1.1.c1.g949.i1	1578	1580	h2
Hcv1.1.c5.g225.i1	133	115	h1
Hcv1.1.c2.g839.i1	286	282	h1
Hcv1.1.c9.g343.i1	597	597	h1
Hcv1.1.c8.g68.i3	341	341	h1
Hcv1.1.c4.g651.i1	198	198	h1
Hcv1.1.c1.g21.i1	121	93	h1
Hcv1.1.c7.g210.i1	75	88	h2
Hcv1.1.c8.g351.i1	610	610	h1
Hcv1.1.c3.g1069.i1	215	215	h1
Hcv1.1.c1.g149.i2	1061	1061	h1
Hcv1.1.c6.g253.i2	210	210	h1
Hcv1.1.c3.g685.i1	1325	1327	h2
Hcv1.1.c5.g574.i1	589	589	h1
Hcv1.1.c5.g756.i1	386	386	h1
Hcv1.1.c8.g543.i3	884	869	h1
Hcv1.1.c8.g399.i1	214	204	h1
Hcv1.1.c9.g52.i1	360	360	h1
Hcv1.1.c10.g197.i1	1050	1050	h1
Hcv1.1.c10.g520.i2	121	99	h1
Hcv1.1.c3.g1056.i1	394	393	h1
Hcv1.1.c2.g1426.i1	705	705	h1
Hcv1.1.c2.g610.i1	850	850	h1
Hcv1.1.c9.g251.i1	182	182	h1
Hcv1.1.c13.g66.i3	721	721	h1
Hcv1.1.c7.g852.i2	629	629	h1
Hcv1.1.c2.g820.i1	612	612	h1
Hcv1.1.c1.g82.i2	926	926	h1
Hcv1.1.c9.g734.i2	483	483	h1
Hcv1.1.c13.g303.i1	582	582	h1
Hcv1.1.c7.g304.i1	385	385	h1
Hcv1.1.c7.g556.i1	536	528	h1
Hcv1.1.c7.g207.i1	473	473	h1
Hcv1.1.c1.g1206.i2	111	200	h2
Hcv1.1.c1.g1170.i1	358	358	h1
Hcv1.1.c4.g259.i1	180	180	h1
Hcv1.1.c12.g353.i2	357	357	h1
Hcv1.1.c8.g6.i1	437	437	h1
Hcv1.1.c5.g1141.i2	1650	1650	h1
Hcv1.1.c10.g64.i1	735	735	h1
Hcv1.1.c5.g870.i5	287	287	h1
Hcv1.1.c7.g540.i1	421	584	h2
Hcv1.1.c6.g1091.i1	787	787	h1
Hcv1.1.c12.g317.i1	84	84	h1
Hcv1.1.c6.g772.i1	707	706	h1
Hcv1.1.c7.g651.i3	691	691	h1
Hcv1.1.c9.g699.i3	216	216	h1
Hcv1.1.c12.g133.i1	67	56	h1
Hcv1.1.c9.g283.i2	351	351	h1
Hcv1.1.c13.g449.i4	240	240	h1
Hcv1.1.c7.g219.i1	1418	1418	h1
Hcv1.1.c3.g1148.i4	533	533	h1
Hcv1.1.c5.g243.i2	254	715	h2
Hcv1.1.c7.g76.i1	332	332	h1
Hcv1.1.c1.g1127.i1	326	328	h2
Hcv1.1.c11.g89.i1	776	1170	h2
Hcv1.1.c2.g341.i1	413	413	h1
Hcv1.1.c3.g849.i2	838	838	h1
Hcv1.1.c7.g349.i3	682	682	h1
Hcv1.1.c1.g728.i4	125	131	h2
Hcv1.1.c8.g195.i1	350	347	h1
Hcv1.1.c1.g1300.i2	1257	1257	h1
Hcv1.1.c1.g1245.i1	365	365	h1
Hcv1.1.c13.g416.i1	320	320	h1
Hcv1.1.c4.g703.i2	507	507	h1
Hcv1.1.c1.g407.i21	818	818	h1
Hcv1.1.c11.g224.i1	211	179	h1
Hcv1.1.c8.g538.i1	281	281	h1
Hcv1.1.c4.g454.i2	402	402	h1
Hcv1.1.c4.g193.i1	694	694	h1
Hcv1.1.c4.g586.i5	632	654	h2
Hcv1.1.c10.g143.i1	-1	-1	NO
Hcv1.1.c3.g274.i2	676	736	h2
Hcv1.1.c6.g827.i1	882	649	h1
Hcv1.1.c7.g677.i2	975	975	h1
Hcv1.1.c9.g223.i9	382	382	h1
Hcv1.1.c12.g380.i1	297	297	h1
Hcv1.1.c1.g957.i1	540	540	h1
Hcv1.1.c13.g181.i1	2164	2164	h1
Hcv1.1.c7.g439.i1	853	856	h2
Hcv1.1.c8.g134.i3	162	162	h1
Hcv1.1.c2.g1298.i1	630	630	h1
Hcv1.1.c10.g3.i1	239	239	h1
Hcv1.1.c7.g629.i2	1137	1137	h1
Hcv1.1.c8.g246.i1	302	302	h1
Hcv1.1.c2.g893.i1	169	169	h1
Hcv1.1.c1.g457.i4	753	753	h1
Hcv1.1.c1.g273.i17	449	449	h1
Hcv1.1.c1.g596.i2	446	446	h1
Hcv1.1.c3.g325.i1	249	249	h1
Hcv1.1.c8.g250.i1	319	319	h1
Hcv1.1.c8.g216.i3	448	448	h1
Hcv1.1.c5.g82.i1	408	411	h2
Hcv1.1.c2.g1177.i1	327	327	h1
Hcv1.1.c4.g609.i2	662	661	h1
Hcv1.1.c3.g1158.i1	-1	-1	NO
Hcv1.1.c13.g20.i1	77	77	h1
Hcv1.1.c9.g758.i1	298	210	h1
Hcv1.1.c12.g127.i2	475	475	h1
Hcv1.1.c13.g490.i1	170	170	h1
Hcv1.1.c9.g8.i1	1137	977	h1
Hcv1.1.c10.g208.i2	1500	1503	h2
Hcv1.1.c8.g134.i2	181	185	h2
Hcv1.1.c2.g1118.i1	164	164	h1
Hcv1.1.c10.g185.i2	649	649	h1
Hcv1.1.c10.g187.i1	402	402	h1
Hcv1.1.c2.g697.i1	481	481	h1
Hcv1.1.c2.g676.i2	1237	703	h1
Hcv1.1.c1.g397.i1	278	278	h1
Hcv1.1.c13.g6.i1	248	242	h1
Hcv1.1.c1.g725.i1	57	76	h2
Hcv1.1.c7.g96.i5	812	812	h1
Hcv1.1.c3.g892.i1	855	842	h1
Hcv1.1.c4.g434.i2	438	438	h1
Hcv1.1.c9.g454.i2	314	314	h1
Hcv1.1.c3.g195.i1	185	185	h1
Hcv1.1.c5.g321.i1	305	305	h1
Hcv1.1.c9.g350.i1	568	568	h1
Hcv1.1.c4.g340.i1	879	879	h1
Hcv1.1.c2.g668.i1	1171	1171	h1
Hcv1.1.c12.g368.i1	90	90	h1
Hcv1.1.c1.g1498.i1	237	237	h1
Hcv1.1.c4.g643.i2	171	162	h1
Hcv1.1.c3.g101.i2	459	459	h1
Hcv1.1.c5.g733.i1	411	411	h1
Hcv1.1.c2.g686.i1	177	177	h1
Hcv1.1.c11.g129.i3	426	426	h1
Hcv1.1.c12.g92.i1	1318	1332	h2
Hcv1.1.c1.g1012.i1	553	553	h1
Hcv1.1.c2.g1411.i2	283	283	h1
Hcv1.1.c9.g224.i3	194	194	h1
Hcv1.1.c1.g392.i1	398	398	h1
Hcv1.1.c11.g197.i1	116	116	h1
Hcv1.1.c6.g937.i1	1637	1637	h1
Hcv1.1.c1.g1518.i1	641	641	h1
Hcv1.1.c7.g190.i1	657	657	h1
Hcv1.1.c9.g14.i1	701	701	h1
Hcv1.1.c13.g298.i1	109	109	h1
Hcv1.1.c5.g74.i1	171	171	h1
Hcv1.1.c2.g1439.i1	1175	1175	h1
Hcv1.1.c9.g238.i1	385	386	h2
Hcv1.1.c3.g994.i3	223	223	h1
Hcv1.1.c2.g713.i1	711	711	h1
Hcv1.1.c9.g357.i1	412	412	h1
Hcv1.1.c9.g507.i5	84	84	h1
Hcv1.1.c2.g77.i1	223	211	h1
Hcv1.1.c13.g49.i1	294	294	h1
Hcv1.1.c7.g120.i1	613	871	h2
Hcv1.1.c6.g343.i1	368	365	h1
Hcv1.1.c2.g195.i1	290	391	h2
Hcv1.1.c4.g331.i3	1637	790	h1
Hcv1.1.sca9.g2.i1	294	294	h1
Hcv1.1.c13.g349.i2	798	798	h1
Hcv1.1.c2.g535.i1	269	269	h1
Hcv1.1.c13.g152.i1	420	411	h1
Hcv1.1.c1.g728.i3	152	152	h1
Hcv1.1.c1.g388.i2	1781	1780	h1
Hcv1.1.c1.g688.i1	363	363	h1
Hcv1.1.c2.g1247.i1	355	249	h1
Hcv1.1.c7.g839.i1	370	363	h1
Hcv1.1.c6.g362.i1	420	420	h1
Hcv1.1.c8.g691.i1	340	340	h1
Hcv1.1.c12.g403.i1	89	89	h1
Hcv1.1.c7.g795.i2	206	206	h1
Hcv1.1.c6.g848.i1	287	287	h1
Hcv1.1.c10.g199.i3	599	599	h1
Hcv1.1.c2.g595.i1	634	634	h1
Hcv1.1.c6.g320.i1	375	375	h1
Hcv1.1.c11.g186.i1	490	490	h1
Hcv1.1.c8.g299.i2	670	306	h1
Hcv1.1.c3.g619.i4	637	637	h1
Hcv1.1.c2.g1409.i2	597	611	h2
Hcv1.1.c7.g531.i1	294	294	h1
Hcv1.1.c3.g170.i3	137	135	h1
Hcv1.1.c1.g341.i1	1853	1895	h2
Hcv1.1.c7.g279.i1	526	526	h1
Hcv1.1.c6.g867.i1	518	518	h1
Hcv1.1.c9.g227.i2	458	276	h1
Hcv1.1.c8.g58.i1	331	331	h1
Hcv1.1.c6.g190.i1	174	174	h1
Hcv1.1.c1.g213.i1	230	237	h2
Hcv1.1.c7.g692.i3	967	967	h1
Hcv1.1.c1.g605.i1	84	-1	h1
Hcv1.1.c5.g151.i1	151	122	h1
Hcv1.1.c5.g405.i1	379	378	h1
Hcv1.1.c7.g533.i2	664	664	h1
Hcv1.1.c5.g1165.i1	552	552	h1
Hcv1.1.c10.g202.i1	1589	1589	h1
Hcv1.1.c10.g478.i4	912	723	h1
Hcv1.1.c12.g264.i2	297	297	h1
Hcv1.1.c12.g338.i6	881	881	h1
Hcv1.1.c11.g624.i1	1698	1784	h2
Hcv1.1.c11.g148.i2	485	485	h1
Hcv1.1.c3.g430.i2	257	257	h1
Hcv1.1.c7.g691.i1	94	94	h1
Hcv1.1.c7.g117.i1	535	535	h1
Hcv1.1.c10.g242.i1	458	369	h1
Hcv1.1.c10.g499.i1	204	204	h1
Hcv1.1.c1.g937.i1	601	601	h1
Hcv1.1.c9.g613.i1	1713	1713	h1
Hcv1.1.c3.g426.i1	843	1021	h2
Hcv1.1.c9.g454.i3	287	287	h1
Hcv1.1.c5.g364.i1	163	163	h1
Hcv1.1.c8.g520.i1	1423	1431	h2
Hcv1.1.c13.g276.i1	140	140	h1
Hcv1.1.c8.g796.i1	674	674	h1
Hcv1.1.c4.g562.i1	66	66	h1
Hcv1.1.c1.g1096.i1	781	792	h2
Hcv1.1.c5.g742.i4	796	796	h1
Hcv1.1.c13.g330.i2	842	583	h1
Hcv1.1.c3.g587.i1	552	552	h1
Hcv1.1.c8.g521.i1	1250	1250	h1
Hcv1.1.c2.g866.i1	211	211	h1
Hcv1.1.c3.g1028.i1	266	266	h1
Hcv1.1.c5.g616.i1	146	146	h1
Hcv1.1.c13.g37.i1	229	229	h1
Hcv1.1.c3.g465.i1	1420	1436	h2
Hcv1.1.c7.g313.i1	484	484	h1
Hcv1.1.c3.g344.i2	111	111	h1
Hcv1.1.c4.g212.i1	1021	1021	h1
Hcv1.1.c5.g701.i1	351	351	h1
Hcv1.1.c3.g712.i2	1716	1755	h2
Hcv1.1.c10.g266.i1	477	475	h1
Hcv1.1.c1.g127.i3	689	684	h1
Hcv1.1.c13.g5.i1	357	359	h2
Hcv1.1.c5.g924.i1	883	882	h1
Hcv1.1.c11.g144.i1	412	412	h1
Hcv1.1.c1.g252.i1	405	405	h1
Hcv1.1.c1.g1143.i1	-1	-1	NO
Hcv1.1.c13.g295.i1	166	166	h1
Hcv1.1.c13.g34.i1	202	202	h1
Hcv1.1.c1.g389.i2	904	904	h1
Hcv1.1.c1.g470.i1	397	397	h1
Hcv1.1.sca6.g1.i1	388	388	h1
Hcv1.1.c2.g1216.i1	280	280	h1
Hcv1.1.c5.g1108.i1	1421	1421	h1
Hcv1.1.c2.g1049.i1	641	641	h1
Hcv1.1.c5.g319.i1	670	670	h1
Hcv1.1.c6.g889.i1	131	131	h1
Hcv1.1.c6.g443.i1	414	414	h1
Hcv1.1.c3.g237.i1	363	334	h1
Hcv1.1.c7.g710.i1	318	318	h1
Hcv1.1.c8.g747.i1	902	903	h2
Hcv1.1.c9.g174.i1	162	162	h1
Hcv1.1.c5.g179.i2	461	610	h2
Hcv1.1.c2.g1066.i3	1009	1007	h1
Hcv1.1.c5.g498.i1	979	979	h1
Hcv1.1.c9.g424.i1	259	257	h1
Hcv1.1.c11.g692.i3	343	343	h1
Hcv1.1.c9.g731.i1	368	368	h1
Hcv1.1.c12.g457.i1	1328	1037	h1
Hcv1.1.c7.g172.i1	266	252	h1
Hcv1.1.c8.g206.i1	129	129	h1
Hcv1.1.c9.g526.i1	681	681	h1
Hcv1.1.c3.g281.i1	442	442	h1
Hcv1.1.c11.g456.i1	229	229	h1
Hcv1.1.c4.g369.i1	73	73	h1
Hcv1.1.c10.g201.i4	2091	2091	h1
Hcv1.1.c3.g752.i1	108	108	h1
Hcv1.1.c1.g1275.i1	431	431	h1
Hcv1.1.c6.g644.i1	321	326	h2
Hcv1.1.c9.g523.i1	666	668	h2
Hcv1.1.c1.g462.i1	87	88	h2
Hcv1.1.c10.g314.i2	361	366	h2
Hcv1.1.c12.g308.i2	647	647	h1
Hcv1.1.c7.g302.i1	767	767	h1
Hcv1.1.c1.g755.i2	883	889	h2
Hcv1.1.c3.g341.i1	1616	1335	h1
Hcv1.1.c5.g2.i2	636	636	h1
Hcv1.1.c9.g764.i1	1056	1056	h1
Hcv1.1.sca1.g2.i1	141	138	h1
Hcv1.1.c11.g592.i3	582	582	h1
Hcv1.1.c4.g226.i1	272	272	h1
Hcv1.1.c1.g233.i3	1093	1093	h1
Hcv1.1.c6.g1045.i1	166	166	h1
Hcv1.1.c1.g1175.i1	787	787	h1
Hcv1.1.c7.g425.i1	190	190	h1
Hcv1.1.c1.g648.i1	415	328	h1
Hcv1.1.c5.g1022.i1	181	181	h1
Hcv1.1.c5.g1183.i1	1612	1612	h1
Hcv1.1.c3.g887.i2	207	207	h1
Hcv1.1.c8.g784.i1	156	156	h1
Hcv1.1.c2.g48.i1	308	308	h1
Hcv1.1.c8.g197.i2	527	527	h1
Hcv1.1.c11.g179.i1	1190	1190	h1
Hcv1.1.c2.g1354.i1	1612	1612	h1
Hcv1.1.c7.g52.i2	926	926	h1
Hcv1.1.c4.g482.i2	816	816	h1
Hcv1.1.c2.g1244.i1	447	447	h1
Hcv1.1.c11.g816.i2	1565	1565	h1
Hcv1.1.c6.g249.i1	463	277	h1
Hcv1.1.c5.g653.i1	356	356	h1
Hcv1.1.c4.g532.i2	1707	1263	h1
Hcv1.1.c7.g193.i1	681	683	h2
Hcv1.1.c11.g447.i1	333	333	h1
Hcv1.1.c9.g651.i1	169	169	h1
Hcv1.1.c6.g305.i1	295	295	h1
Hcv1.1.c4.g304.i1	760	755	h1
Hcv1.1.c5.g559.i1	433	328	h1
Hcv1.1.c5.g514.i3	1311	1311	h1
Hcv1.1.c8.g164.i1	315	310	h1
Hcv1.1.c2.g1166.i1	398	399	h2
Hcv1.1.c11.g211.i1	877	876	h1
Hcv1.1.c1.g354.i1	634	634	h1
Hcv1.1.c4.g15.i2	549	549	h1
Hcv1.1.c1.g983.i5	467	467	h1
Hcv1.1.c5.g68.i1	354	355	h2
Hcv1.1.c1.g32.i1	996	991	h1
Hcv1.1.c4.g291.i1	76	76	h1
Hcv1.1.c8.g425.i3	860	860	h1
Hcv1.1.c1.g1361.i5	1492	1471	h1
Hcv1.1.c8.g250.i3	319	319	h1
Hcv1.1.c9.g445.i1	513	513	h1
Hcv1.1.c1.g935.i2	680	680	h1
Hcv1.1.c3.g526.i1	864	863	h1
Hcv1.1.c3.g817.i1	347	347	h1
Hcv1.1.c1.g963.i7	930	930	h1
Hcv1.1.c1.g140.i1	428	428	h1
Hcv1.1.c5.g402.i3	184	184	h1
Hcv1.1.c10.g186.i1	534	534	h1
Hcv1.1.c2.g1460.i3	93	93	h1
Hcv1.1.c10.g133.i1	822	822	h1
Hcv1.1.c8.g673.i2	606	606	h1
Hcv1.1.c5.g1031.i1	168	169	h2
Hcv1.1.c8.g324.i1	261	261	h1
Hcv1.1.c2.g1353.i1	256	247	h1
Hcv1.1.c3.g15.i1	162	162	h1
Hcv1.1.c5.g337.i1	464	473	h2
Hcv1.1.c10.g278.i2	300	300	h1
Hcv1.1.c11.g293.i1	286	600	h2
Hcv1.1.c2.g190.i2	382	382	h1
Hcv1.1.c8.g256.i1	392	392	h1
Hcv1.1.c11.g304.i1	237	237	h1
Hcv1.1.c12.g172.i1	137	249	h2
Hcv1.1.c11.g512.i1	465	465	h1
Hcv1.1.c3.g258.i2	620	621	h2
Hcv1.1.c8.g187.i1	528	528	h1
Hcv1.1.c1.g691.i1	500	582	h2
Hcv1.1.c9.g185.i2	455	225	h1
Hcv1.1.c6.g678.i1	517	517	h1
Hcv1.1.c2.g848.i1	-1	-1	NO
Hcv1.1.c6.g336.i1	218	218	h1
